post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
153591412.aws-lambda-duckdb-and-delta-lake,2024-12-29T16:05:08.856Z,true,2024-12-29T16:05:09.055Z,2024-12-29T16:05:09.055Z,newsletter,everyone,AWS Lambda + DuckDB (and Delta Lake),simplicity in Data Engineering,
153392602.data-engineering-central-podcast-bbc,2024-12-20T13:20:14.104Z,true,2024-12-20T13:20:14.185Z,2024-12-20T13:20:14.185Z,podcast,everyone,Data Engineering Central Podcast - 05,Episode 05,
153329123.amazon-s3-tables,2024-12-19T13:06:53.132Z,true,2024-12-19T13:06:53.248Z,2024-12-19T13:06:53.248Z,newsletter,everyone,Amazon (S3) Tables, ... the truth of the matter,
153217809.4-must-know-pyspark-tips,,false,,,newsletter,only_paid,,,
153216139.how-to-write-better-pyspark-code,2025-01-06T13:05:27.936Z,true,2025-01-06T13:05:28.124Z,2025-01-06T13:05:28.124Z,newsletter,everyone,How to write better PySpark code.,... do it or else,
153125113.data-skew-a-gentle-introduction,2024-12-24T01:47:22.951Z,true,2024-12-24T01:47:23.037Z,2024-12-24T01:47:23.037Z,newsletter,only_paid,"Data Skew, a Gentle Introduction.",... just a little lopsided,
153086644.query-patterns-for-big-data-in-the,,false,,,newsletter,only_paid,,,
152985150.can-duckdb-process-larger-than-memory,,false,,,newsletter,only_paid,,,
152927810.the-best-aws-tool-data-engineers,,false,,,newsletter,only_paid,,,
152810219.why-is-everybody-so-big-on-zig,2024-12-09T13:51:46.856Z,true,2024-12-09T13:51:47.524Z,2024-12-09T13:51:47.524Z,newsletter,only_paid,Why Is Everybody So Big on Zig?,Guest Post by Anonymous Rust Dev,
152773121.delta-lake-vs-apache-iceberg-the,2024-12-11T20:00:10.930Z,true,2024-12-11T20:00:11.154Z,2024-12-11T20:00:11.154Z,newsletter,everyone,Delta Lake vs Apache Iceberg. The Lake House Squabble. ,... the real deal.,
